Curs,Tipus d'estudi,Tipus d'universitat,Universitat,Tipus de centre,Nacionalitat,Sexe,Comarca del centre,Nou accés,Matrícula,Matrícula ETC,Titulats
2017,grau,PÚBLICA,UdL,Adscrit,NACIONALITAT ESTRANGERA,DONA,Segrià,*,10,9.9,0
2017,grau,PÚBLICA,UdL,Adscrit,NACIONALITAT ESTRANGERA,HOME,Barcelonès,*,6,5.0,0
2017,grau,PÚBLICA,UdL,Adscrit,NACIONALITAT ESTRANGERA,HOME,Segrià,*,9,8.5,*
2017,grau,PÚBLICA,UdL,Integrat,NACIONALITAT ESPANYOLA,DONA,Segrià,1022,4313,4190.7,705
2017,grau,PÚBLICA,UdL,Integrat,NACIONALITAT ESPANYOLA,HOME,Segrià,681,3001,2794.7,460
2017,grau,PÚBLICA,UdL,Integrat,NACIONALITAT ESTRANGERA,DONA,Segrià,111,344,335.4,44
2017,grau,PÚBLICA,UdL,Integrat,NACIONALITAT ESTRANGERA,HOME,Segrià,40,168,156.7,18
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,DONA,Anoia,0,5,4.2,5
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,DONA,Bages,*,6,3.9,*
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,DONA,Barcelonès,101,361,320.6,42
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,DONA,Maresme,0,47,17.1,33
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,DONA,Vallès Occidental,30,96,84.7,32
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,HOME,Anoia,0,15,9.4,15
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,HOME,Bages,*,10,4.6,7
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,HOME,Barcelonès,174,690,612.8,87
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,HOME,Maresme,0,117,48.6,54
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESPANYOLA,HOME,Vallès Occidental,117,373,345.8,45
2017,grau,PÚBLICA,UPC,Adscrit,NACIONALITAT ESTRANGERA,DONA,Barcelonès,10,28,24.9,*
